gender,SeniorCitizen,Partner,Dependents,tenure (months true),PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MonthlyContract,1yContract,2yContract,PaperlessBilling,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check,MonthlyCharges,TotalCharges,Churn
1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,29.95,29.95,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,24.8,24.8,1
1,0,1,0,48,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,45.3,2145,1
0,0,0,0,22,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,43.75,903.6,1
0,0,1,0,59,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,41.05,2452.7,1
1,0,1,0,13,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,48.75,633.4,1
0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,35.25,35.25,1
0,0,1,1,31,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,35.4,1077.5,1
0,0,1,0,9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24.1,259.8,1
0,0,0,0,46,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,30.3,1380.1,1
0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,29.85,75.6,1
0,1,1,0,24,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,39.1,971.3,1
1,0,1,0,25,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,34,853,1
0,0,1,1,49,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,51.8,2541.25,1
0,1,1,0,46,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,59.9,2816.65,1
0,0,1,1,37,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,40.2,1448.8,1
0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,25.2,102.5,1
1,0,0,0,43,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,49.05,2076.2,1
0,1,1,0,27,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,36.5,1032,1
0,0,1,0,55,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,54.55,2978.3,1
1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,30.5,30.5,1
0,0,0,0,45,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,42.3,1840.75,0
